608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
2459_214 	A2HFASY1SVXPSP 	An honorary Oscar was awarded to him weeks before his death&#44; which he received in a gravely ill condition
2459_215 	A2HFASY1SVXPSP 	He died on 23 April 1992.
2459_217 	A2HFASY1SVXPSP 	Satyajit Ray considered script-writing to be an integral part of direction
2459_218 	AKZBNT298EBKI 	For this reason&#44; at the primary stage if work life&#44; he was not interested in making film in any language other than Bengali.
2459_219 	A3F9QBUALMKO1 	He wrote scripts in English for his two non-Bengali feature films which were translated by the translators in Hindi and Urdu under his supervision.
2459_220 	A2JPXAF2MC24F7 	Satyajit and his Art Director&#44; Bangshi Chandragupta thought that existence of the stage of cinema depends on the script.
2459_221 	A2HFASY1SVXPSP 	Satyajit would always write scripts in English before creating a Bengali version&#44; so that the non-Bengali Chandragupta would be able to read it
2459_222 	A2HFASY1SVXPSP 	Camera work in Ray&#39;s early films  garnered high regard for the craft of Subrata Mitra who bitterly left the Ray&#39;s crew afterwards.
2459_223 	A2HFASY1SVXPSP 	According to a number of critics&#44; his departure lowered the quality of cinematography in his films.
2459_225 	A2HFASY1SVXPSP 	Pioneering works of Subrata Mitra included development of &quot;bounce lighting&quot;&#44; a technique of bouncing light off cloth to create a diffused realistic light even on a set
2459_226 	A3F9QBUALMKO1 	Apart from that Satyajit admitted the influence of French New Wave directors&#44; Jean-Luc Godard and Francois Truffaut on his new technical and cinematic innovations.
2459_227 	A2JPXAF2MC24F7 	Satyjit&#39;s films were edited regularly by Dulal Dutta though  Satyajit himself most of the time gave instructions to Dulal in this respect.
2459_228 	A2HFASY1SVXPSP 	In fact&#44; because of financial reasons and Ray&#39;s meticulous planning&#44; his films were mostly cut &quot;on the camera&quot; (apart from Pather Panchali).
2459_229 	A3F9QBUALMKO1 	At the beginning of his career&#44; Satyajit got a chance to work with some talented Indian classical musicians such as Ravi Shankar&#44; Vilayat Khan and Ali Akbar Khan.
2459_230 	A3F9QBUALMKO1 	But his experience was painful.
2459_231 	A28YA9BQFLXOPT 	He realized the singers were much more concerned with their songs than his films.
2459_232 	A16IVTYAYSV3SA 	Satyajit would prefer to use the western classical music&#44; especially for those of his films made in the background of cities.
2459_233 	A16IVTYAYSV3SA 	For this reason he started to compose his own music from his film &#39;Tin Kanya&#39; (The Three Women).
2459_234 	A3F9QBUALMKO1 	The work of actors was also widely praised in Satyajits films.
2459_235 	A3F9QBUALMKO1 	Famous film stars as well as people who have never seen a film (such as in Aparajito) worked in Satyajit&#39;s film.
2459_237 	A16IVTYAYSV3SA 	The nature of his direction would depend on the talent and experience of the actors.
2459_238 	A16IVTYAYSV3SA 	He gave no such direction to the actors like Utpal Dutta&#44; on the other hand&#44; he used Subir Bandyopadhyay in the character of Apu and Sharmila Tagore in the character of Aparna like a &quot;doll&quot;.
2459_239 	A2HFASY1SVXPSP 	The subjects of Satyajit&#39;s films were multidimensional
2459_240 	A31II4QBW2DURA 	Regarding this&#44; in 1975 he said that his critics often allege him of showing the tendency of hopping like a grass hopper and that in his films no known trends are observed so that he can be labeled as something specific.
2459_241 	A31II4QBW2DURA 	In self defense on this matter he said that this multifaceted nature is the reflection of his own character only&#44; behind his every film there is a well thought decision working.
2459_244 	A31II4QBW2DURA 	Front page of a collection of short stories by Satyajit.
2459_246 	A16IVTYAYSV3SA 	Satyajit was the creator of the two most popular characters in the Bengali literature.
2459_247 	A31II4QBW2DURA 	One is the detective Feluda&#44; and the other one is the Scientist Professor Shanku.
2459_248 	A2HFASY1SVXPSP 	He also wrote short stories which were published as volumes of 12 stories&#44; always with names playing on the word twelve (for example Aker pitthe dui&#44; or literally &quot;Two on top of one&quot;).
2459_249 	A2HFASY1SVXPSP 	Ray&#39;s interest in puzzles and puns is reflected in his stories&#44;
2459_262 	A3F9QBUALMKO1 	The book is recently published in English in the name of &#39;Speaking of Films&#39;.
2459_263 	A2JPXAF2MC24F7 	In addition Satyajit wrote a book of nonsense rhymes &#39;Toray Bandha Ghorar Dim&#39; containing a translation of Lewis Carol&#39;s &#39;Jabberwocky&#39;.
2459_264 	A2HFASY1SVXPSP 	He also authored a collection of humorous stories of Mullah Nasiruddin in Bengali.
2459_265 	A3F9QBUALMKO1 	Satyajit ray designed two typefaces named Ray Roman&#39; and &#39;Ray Bizarre&#39;.
2459_266 	A2HFASY1SVXPSP 	Ray Roman won an international competition in 1970.
2459_267 	A3F9QBUALMKO1 	While in film industry&#44; he continued to be known as an eminent graphic designer.
2459_268 	A3F9QBUALMKO1 	All of his books and covers are illustrated by him.
2459_269 	A2JPXAF2MC24F7 	Besides all the advertisements in his cinemas were also created by he himself.
2459_270 	A3F9QBUALMKO1 	Audience and Critic&#39;s Feedback
2459_271 	A2HFASY1SVXPSP 	Ray&#39;s work has been described as reverberating with humanism and universality
2459_272 	A2HFASY1SVXPSP 	His films are of deceptive simplicity with deep underlying complexity
2459_274 	A16IVTYAYSV3SA 	Many people have heartily praised his works and the most important of them is this statement of Akira Kurosawa: &quot;Not to have seen the cinemas of Satyajit Ray is same as living in the world without seeing the sun and the moon&quot;.
2459_275 	A2HFASY1SVXPSP 	But his detractors find his films glacially slow&#44; moving like a &quot;majestic snail.&quot;
2459_276 	A2HFASY1SVXPSP 	Some find his humanism simple-minded&#44; and his work anti-modern
2459_277 	A31II4QBW2DURA 	They also think that unlike his contemporary film directors&#44; new expression or experimentation cannot be seen in Satyajit&#39;s films.
2459_278 	A2HFASY1SVXPSP 	As Stanley Kauffman wrote&#44; some critics believe that Ray &quot;assumes [viewers] can be interested in a film that simply dwells in its characters&#44; rather than one that imposes dramatic patterns on their lives.&quot;
2459_279 	A2HFASY1SVXPSP 	Satyajit himself commented that this slowness is something he can do nothing about. Kurosawa defended him by saying that Ray&#39;s films were not slow at all&#44;
2459_280 	A16IVTYAYSV3SA 	&quot;On the contrary&#44; they can be compared with a large peacefully flowing river&quot;.
2459_282 	A2JPXAF2MC24F7 	His critics have often compared him with famous personalities of cinema and other mediums like Anton Chekhov&#44; Jean Renoir&#44; Vittorio De Sica&#44; Howard Hawks or Volfgang Amadeus Mozart.
2459_283 	A2JPXAF2MC24F7 	He has been compared with Shakespeare too.
2459_285 	A3F9QBUALMKO1 	V. S. Naipaul compared a scene of Shatranj Ki Khiladi to a Shakespearian play and said&#44; &quot;Only three hundred words are spoken but goodness!
2459_286 	A2HFASY1SVXPSP 	terrific things happen.&quot; It is generally acknowledged&#44; even by those who were not impressed by the aesthetics of Ray&#39;s films&#44; that he was virtually peerless in that his films encompass a whole culture with all its nuances
2459_288 	A2JPXAF2MC24F7 	&quot;But it is commonly said that the films made after his heart attack were not so lively as those made before.&quot;
2459_289 	A2HFASY1SVXPSP 	Early in 1980&#44; Ray was openly criticized by an Indian M.P. and former actress Nargis Dutt&#44; who accused Ray of &quot;exporting poverty&#44;&quot; demanding he make films to represent &quot;Modern India.&quot;[63] On the other hand&#44; a common accusation levelled against him by advocates of socialism across India was that he was not &quot;committed&quot; to the cause of the nation&#39;s downtrodden classes&#44; with some commentators accusing Ray of glorifying poverty in Pather Panchali and Asani Sanket through lyricism and aesthetics
2459_290 	A2HFASY1SVXPSP 	They also accused him of providing no solution to conflicts in the stories&#44; and being unable to overcome his bourgeoisie background
2459_291 	A3F9QBUALMKO1 	His son Sandip was physically harmed during the Naxalite movements in 1970.
2459_292 	A2HFASY1SVXPSP 	In a public debate during the 1960s&#44; Ray and the openly Marxist filmmaker Mrinal Sen engaged in an argument
2459_293 	A3F9QBUALMKO1 	Mrinal Sen criticized Satyajit for casting commercial film star Uttam Kumar in his film.
2459_294 	A16IVTYAYSV3SA 	Satyajit replied that Mrinal Sen only knew how to strike on the &quot;soft-targets&quot; (as well as the Bengali middle class).
2459_295 	A2JPXAF2MC24F7 	Story of the Legend
2459_298 	A2HFASY1SVXPSP 	Satyajit with his Academy Award just days before his death.
2459_299 	A2HFASY1SVXPSP 	Satyajit Ray is a cultural icon in India and in Bengali communities worldwide
2459_300 	A2HFASY1SVXPSP 	Following his death&#44; the city of Kolkata came to a virtual standstill.
2459_302 	A2JPXAF2MC24F7 	Satyajit immensely influenced the Bengali cinema world.
2459_303 	A16IVTYAYSV3SA 	The cinematic techniques of Satyajit have greatly inspired the Bengali film makers like Aparna Sen&#44; Rituporno Ghosh&#44; Goutam Ghosh and Tareq Masood of Bangladesh.
2459_304 	A2JPXAF2MC24F7 	Film makers like Buddhadeb Dasgupta&#44; Mrinal Sen ad Adur Gopalkrishnan acknowledged extraordinary contributions of Satyajit towards Indian cinema.
2459_305 	A2HFASY1SVXPSP 	Beyond India&#44; filmmakers such as Martin Scorsese&#44; James Ivory&#44; Abbas Kiarostami&#44; Elia Kazan have been influenced by his cinematic style.
2459_306 	A2HFASY1SVXPSP 	Ira Sachs&#39;s 2005 work Forty Shades of Blue was a loose remake of Charulata&#44; and in Gregory Nava&#39;s 1995 film My Family&#44; the final scene is duplicated from the final scene of Apur Sansar
2459_307 	A2HFASY1SVXPSP 	Similar references to Ray films are found&#44; for example&#44; in recent works such as Sacred Evil&#44;[76] the Elements trilogy of Deepa Mehta and even in films of Jean-Luc Godard.[
2459_308 	A2HFASY1SVXPSP 	The character Apu Nahasapeemapetilon in the American animated television series The Simpsons was named in homage to Ray&#39;s popular character from The Apu Trilogy
2459_309 	A3F9QBUALMKO1 	The photograph of Satyajit with Madhabi Mukherjee is featured on the stamp of Dominica - It was the first for any Indian film personalities.
2459_310 	A2HFASY1SVXPSP 	Many literary works include references to Ray or his work.
2459_311 	A2HFASY1SVXPSP 	Salman Rushdie&#39;s Haroun and the Sea of Stories contains fish characters named Goopy and Bagha&#44; a tribute to Ray&#39;s fantasy film
2459_312 	A16IVTYAYSV3SA 	Many institutions have conferred on Satyajit the Honorary Doctorate degree.
2459_314 	A2HFASY1SVXPSP 	He was awarded the Legion of Honor by the President of France in 1987.
2459_315 	A16IVTYAYSV3SA 	A few days before he died the government of India had presented him the highest civilian honor of India The Bharat Ratna (The Jewel of India).
2459_316 	A3F9QBUALMKO1 	In 1993 Satyajit Ray Film and Study Center was established by the University of California&#44; Santa Cruz.
2459_317 	A31II4QBW2DURA 	In 1995 the Government of India established Satyajit Ray Film and Television Institute to carry research on subjects related to films.
2459_318 	A3F9QBUALMKO1 	In 2007 British Broadcasting Corporation (BBC) announced that a radio program will be made on two stories of the Feluda series.
2459_319 	A3F9QBUALMKO1 	An award known as the &#39;Satyajit Ray Award&quot; is given regularly since the inception of the &#39;London Film Festival&#39;.
2459_320 	A16IVTYAYSV3SA 	This award is conferred on those directors who make quality full length films and whose films are akin to that of Satyajit Roy&#39;s in terms of their artistic quality&#44; compassion and humanity.
2459_321 	A31II4QBW2DURA 	Wes Anderson has claimed that his films are particularly influenced by Satyajit.
2459_322 	A3F9QBUALMKO1 	He dedicated his recent film The Darjeeling to Satyajit Ray.
2459_323 	A3F9QBUALMKO1 	Awards and Honors
2459_324 	A3F9QBUALMKO1 	Satyajit was awarded with several awards in his lifetime.
2459_326 	A2JPXAF2MC24F7 	Charlie Chaplin was the first film personality to get D. Lit. from Oxford.
2459_327 	A2JPXAF2MC24F7 	In 1987 the French Government honored him with Lgion d&#39;Honneur&#44; the special prestigious award of the country.
2459_328 	ADC8VBKOVOCRR 	He was awarded the Dada Sahib Phalke Award&#44; the highest award of film in India&#44; in 1985.
2459_329 	ADC8VBKOVOCRR 	In 1992&#44; a few days before his death&#44; Academy of Motion Picture Arts and Sciences awarded him the prestigious Academy Award for lifetime achievement.
2459_330 	ADC8VBKOVOCRR 	The Government of India awarded him the highest civilian honour&#44;Bharat Ratna shortly before his death.
2459_331 	A2JPXAF2MC24F7 	In the same year he was given Akira Kurosawa Award posthumously.
2459_332 	A2JPXAF2MC24F7 	This award was accepted on behalf of the deceased director by Sharmila Thakur.
2459_339 	A16IVTYAYSV3SA 	The Detective Stories of Satyajit Roy
2459_342 	A6W0G97QVYS6B 	Remembering Ray&#44; Frame by Frame&quot;
2459_343 	A3F9QBUALMKO1 	Satyajit Ray Film and Study Collection
2459_344 	A16IVTYAYSV3SA 	Amartya Sen: Satyajit Roy and The Art of Universalism: Our Culture&#44; Their Culture
2459_345 	A16IVTYAYSV3SA 	Satyajit Roy episode in &#39;Parabas&#39; website.
2459_346 	A2HFASY1SVXPSP 	Senses of cinema: A databse of critical essays about the famous film directors.
2459_347 	A16IVTYAYSV3SA 	Satyajit Roy: A Vision of Cinema - Andrew Robinson
2459_348 	A2HFASY1SVXPSP 	Satyajit Ray&#39;s Masterpiece: The Apu Trilogy- John Nesbitt.
2459_349 	A2JPXAF2MC24F7 	Documentary film on Satyajit Roy produced by Goutam Ghosh
2459_350 	A2JPXAF2MC24F7 	Satyajit on postal stamp&#44; Satyajit of postal stamp stamp - On Holiday&#44; Daily First Light.
2459_352 	A2JPXAF2MC24F7 	Subject: Born in 1921
2459_353 	A2LG0SJYIUIRNC 	Subject:Died in 1992
2459_354 	A2JPXAF2MC24F7 	Subject: Bengali Film Director
2459_355 	A2HFASY1SVXPSP 	Ctegory: Academy Award winners
2459_356 	A2HFASY1SVXPSP 	Ctegory: writers in Bengali language
2459_357 	A2HFASY1SVXPSP 	Ctegory: Bengali writers
2459_358 	ADC8VBKOVOCRR 	Subject Class: The winner of Bharatratna medal
2459_359 	A2HFASY1SVXPSP 	Category: Dadasaheb Phalke award winners
2459_360 	A2HFASY1SVXPSP 	Category: Indian film directors
2459_361 	A2HFASY1SVXPSP 	Category: Indian writers for children
2459_362 	ADC8VBKOVOCRR 	Subject Class: Legion the Honor recipient
2459_364 	A2HFASY1SVXPSP 	Category: Satyajit Ray
2459_365 	A2HFASY1SVXPSP 	Category: Bharatratno Award Winners
2459_366 	A2HFASY1SVXPSP 	Category: Selected articles
2459_367 	A2HFASY1SVXPSP 	Category: Selected biographies
2730_100 	A3F9QBUALMKO1 	In 19th century Kolkata was the canvas of social reform movement known as Bengal Renaissance which was able to change the thinking of Bengali society.
2730_101 	A2JPXAF2MC24F7 	The Renaissance of Bengal was the pioneer for not only Bangal but for whole of India.
2730_102 	A2JPXAF2MC24F7 	The important leaders of this movement were Raja Rammohan Roy (1772-1833)&#44; Henry Luis Vivian de Rojio (1809-1831)&#44; Ramtanu Lahiri (1813-1898)&#44; Maharshi Debendranth Thakur (1817-1905)&#44; Ishwar Chandra Vidyasagar (1820-1891)&#44; Bankim Chandra Chattopadhaya (1838-1894)&#44; Ramkrishna Paramhansa (1886-1886)&#44; Keshab Chadra Sen (1838-1884)&#44; Swami Vivekananda (1863-1902) etc.
2730_103 	A2WEPQZ7UNOYYF 	Indian National Movement.
2730_104 	A2JPXAF2MC24F7 	In 1883 Rashtraguru Surendranath Bandopadhaya convened the national convention.
2730_105 	A2JPXAF2MC24F7 	It was the first political convention in India in the 19th century.
2730_107 	A3F9QBUALMKO1 	Kolkata became the heart of revolutionary organisations.
2730_108 	A31II4QBW2DURA 	In  the year 1905 wide spread public agitation and the movement for boycotting the British goods (Swadeshi andolan)  started in Kolkata in protest of division of Bengal on the basis of religion.
2730_109 	A2JPXAF2MC24F7 	Observing the strength of the movement and the difficulties in ruling from Kolkata that is situated on the eastern part of the country&#44; The British shifted the capital of India to Delhi.
2730_110 	A2JPXAF2MC24F7 	In 1923 Kolkata Municipal Corporation was set up under Calcutta Municipal Act as an autonomous body.
2730_111 	A3F9QBUALMKO1 	Deshbandhu Chittaranjan Das was elected as the first mayor of this municipality in 1924.
2730_112 	A2JPXAF2MC24F7 	Afterwards prominent freedom strugglers like Subhas Chandra Basu&#44; Bidhan Chandra Roy&#44; Abul KashemFazlul Haque etc. occupied this post.
2730_113 	A31II4QBW2DURA 	During the Second World War the Japanese army had bombed the city and the port of Kolkata more than once.
2730_114 	A3F9QBUALMKO1 	The first and last Japanese bombing incidents occurred on Kolkata on 20 December1942 and 24 December 1944 respectively.
2730_115 	A16IVTYAYSV3SA 	During the time of war&#44; in the great devastating famine of the 1950&#39;s&#44; more than a hundred thousands people were killed in Calcutta.
2730_116 	A2JPXAF2MC24F7 	This famine was the outcome of military destructions&#44; administrative failure and natural calamities.
2730_117 	A3F9QBUALMKO1 	More than four thousand people were killed in Kolkata during the communal riot of 1946 in demand of a separate Muslim country&#44; Pakistan.
2730_119 	A16IVTYAYSV3SA 	After the partition of the nations&#44; a large number of Muslims emigrated to Pakistan and millions of Hindus of that country came to Calcutta.
2730_120 	A2JPXAF2MC24F7 	As a result a great degree of change occurred in the population statistics of this city.
2730_121 	A2JPXAF2MC24F7 	Post-independence Era
2730_122 	A16IVTYAYSV3SA 	After the independence of India&#44; Calcutta became the capital of the newly formed state of West Bengal.
2730_123 	A31II4QBW2DURA 	To fight the acute economic crisis and the problem of the refugees during that period&#44; Dr. Bidhan Chandra Roy&#44; then chief minister of West Bengal&#44; undertook many practical projects
2730_124 	A16IVTYAYSV3SA 	To fight against the increasing population of Calcutta&#44; two planned cities were established&#44; one was Bidhan Nagar at the outskirt of Calcutta and the other one was Kalyani in the district of Nadia.
2730_125 	A16IVTYAYSV3SA 	Besides&#44; the Haldia Port was established as the subsidiary of the Calcutta Port for its development and the project of building the Farakka Dam over the river Hooghly was taken to increase the navigability of this river.
2730_126 	A31II4QBW2DURA 	Still&#44; after the death of Bidhan Chandra&#44; during 1960s and 1970s&#44; due to the extensive power failure&#44; strikes and the militant Naxal movement&#44; infrastructure of the city was severely damaged.
2730_127 	ADC8VBKOVOCRR 	As a result&#44; the economic decay of the city started.
2730_128 	A2JPXAF2MC24F7 	At the time of India Pakistan war in 1971 a large number of refugees took shelter in Kolkata which created tremendous pressure on the city&#39;s economy.
2730_129 	A16IVTYAYSV3SA 	In the mid of the 1980s&#44; Mumbai (the then Bombay) became the highest populated city of India surpassing Calcutta.
2730_131 	ADC8VBKOVOCRR 	The Information Technology industry has put a new momentum in the economy of Kolkata since 2000.
2730_132 	A2JPXAF2MC24F7 	Substantial increase in manufacturing sector of the city has also been possible.
2730_133 	ADC8VBKOVOCRR 	Toward the end of the 20th century&#44; the city of Kolkata was one of the main centres for the Communist movement of India.
2730_134 	A2JPXAF2MC24F7 	The 33 year long rule of Left Front led by CPI(M) in West Bengal is an example of the longest rule in the world by a democratically elected Communist government.
2730_137 	A16IVTYAYSV3SA 	Calcutta at the bank of the Hooghly River as viewed in the picture by the satellite.
2730_139 	A2HFASY1SVXPSP 	The central trade arena of Kolkata is located on the south of Mother Teresa Sharani.
2730_141 	A3KUMU0O6YW08U 	Monsoon clouds can be seen hovering above &quot;Rabindra Setu&quot; (Howrah Bridge).
2730_142 	A16IVTYAYSV3SA 	The mega city of Calcutta is situated at the Eastern delta regions of India.
2730_143 	A3KUMU0O6YW08U 	It is situated at 1.5-9 meters above sea level.
2730_144 	A16IVTYAYSV3SA 	The city is spread along the left bank of the river Hooghly (also called river Ganges) from North to South.
2730_146 	A16IVTYAYSV3SA 	Later&#44; for several decades&#44; to overcome the pressure of cumulative growth in population&#44; these wetlands were filled in and the area of the city was increased.
2730_147 	A2HFASY1SVXPSP 	The remaining wetland&#44; known as East Calcutta Wetlands has been designated a &quot;wetland of international importance&quot; under the Ramsar Convention.
2730_148 	A2HFASY1SVXPSP 	Like the most of the Indo-Gangetic plains&#44; the predominant soil type is alluvial.
2730_149 	A2HFASY1SVXPSP 	Quaternary sediments consisting of clay&#44; silt&#44; various grades of sand and gravel underlie the city.
2730_150 	A3F9QBUALMKO1 	These sediments are compressed between two clay beds.
2730_151 	A1ZAA9FM3OEIK5 	Out of these layers&#44; the depth of the lower layer is 250-650 meters and the depth of the upper layer is 10-40 meters.
2730_152 	A1ZAA9FM3OEIK5 	According to Indian Bureau of Standards&#44; the city is located in the seismic zone-III.
2730_153 	A1ZAA9FM3OEIK5 	The scale of increasing proneness to earthquakes of this region is 1 to 5.
2730_154 	A1ZAA9FM3OEIK5 	Again&#44; according to the report of wind and cyclone zoning by United Nations&#44; Kolkata is a &#39;very high damage risk&#39; area.
2730_155 	A1ZAA9FM3OEIK5 	Urban Structure
2730_156 	A3F9QBUALMKO1 	The total size of urban area under Kolkata municipality is 185 square kilometers.
2730_158 	A1ZAA9FM3OEIK5 	This region has 157 postal areas.
2730_159 	A1ZAA9FM3OEIK5 	The administration of larger Kolkata lies in the hand of several governing bodies&#44; including 38 municipalities.
2730_160 	A31II4QBW2DURA 	There are a total of 72 cities and 527 small towns and villages in Greater Kolkata.
2730_161 	A31II4QBW2DURA 	The urban area of the Calcutta Metropolitan district is spread over North 24 Parganas&#44; South 24 Parganas&#44; Howrah&#44; Hoogly and Nadia district
2730_162 	A2W9KNN58PGSF0 	The east to west stretch of the main city is very narrow.
2730_163 	A31II4QBW2DURA 	The width of the city from the Hoogly river at the west to the Eastern Metropolitan by pass at the east is only 5 to 6 Kilometer.
2730_164 	A31II4QBW2DURA 	The stretch of the city from north to south are broadly devided into three parts - North Kolkata&#44; Central Kolkata and South Kolkata.
2730_165 	A3F9QBUALMKO1 	The oldest areas like SayamPukur&#44; HatiBagan&#44; Sayam Bazar&#44; Bagh Bazar&#44; Kumartuli&#44; Jorasanko etc are situated in North Kolkata.
2730_166 	A31II4QBW2DURA 	South Kolkata was developed after independance.
2730_167 	A2W9KNN58PGSF0 	Tollygunj&#44; Bhowanipur&#44; Alipur&#44; New Alipur&#44; Dhakuria and other posh areas of Kolkata are located in south Kolkata.
2730_168 	A3F9QBUALMKO1 	Bidhan Nagar (other name Salt lake or Labon Hrad) is a planned satellite township on the north east side of the city.
2730_170 	A2HFASY1SVXPSP 	There is another township named Kolkata West International town located adjacent to the Howrah town in the west Kolkata
2730_171 	A2HFASY1SVXPSP 	The adjacent areas of the Eastern Metropolitan Bypass is also a fast expanding locality.
2730_172 	A2HFASY1SVXPSP 	Central Kolkata is the most important part of Kolkata.
2730_173 	A2HFASY1SVXPSP 	Central Kolkata houses the central business district around the Binay-Badal-Dinesh Bagh or the B. B. D. Bagh area.
2730_174 	A16IVTYAYSV3SA 	The Writers&#39; Building (the headquarters of the govt. of West Bengal)&#44; General Post Office (head quarters of the Post of India)&#44; High Court of Calcutta&#44; Lalbazar Police Headquarters&#44; Kolkata Municipal Corporation and many more government and non government offices and headquarters are located in this place.
2730_175 	A2HFASY1SVXPSP 	The Maidan is a large open field in the heart of the city where several sporting events and public meetings are held.
2730_176 	A16IVTYAYSV3SA 	The second commercial hub of the city has been developed in the South of the Mother Teresa Sarani (usually known as the Park Street).
2730_177 	A2HFASY1SVXPSP 	Several government and non-government organisations have set up their offices
2730_179 	A16IVTYAYSV3SA 	Calcutta has a tropical Savanna type of climate (according to the Koppen Climate Classification System&#44; Aw).
2730_180 	A16IVTYAYSV3SA 	The annual lowest temperature is 26.8 degree centigrade and monthly lowest temperature varies from 19-30 degree centigrade.
2730_182 	A16IVTYAYSV3SA 	Though the average lowest temperature is near to 30 degree centigrade at this time but the average highest temperature during the months of May and June frequently crosses 40 degree centigrade.
2730_183 	AAF85ZPWB65DY 	Winter tends to last for only about two and a half months.
2730_184 	A16IVTYAYSV3SA 	During the months of December and January the average lowest temperature varies from 9-11 degree centigrade.
2730_185 	A16IVTYAYSV3SA 	The records of the highest and the lowest temperatures of the city are 43.9 and 5 degree centigrade respectively.
2730_186 	A16IVTYAYSV3SA 	The month of May is usually the hottest month of the city.
2730_187 	A16IVTYAYSV3SA 	During this month the average highest and lowest temperature of the city are 37 and 27 degree centigrade respectively.
2730_188 	A16IVTYAYSV3SA 	On the other hand&#44; the month of January is the coolest month of the year.
2730_189 	A16IVTYAYSV3SA 	The average highest and lowest temperatures of the month of January are 23 and 12 degree centigrade respectively.
2730_190 	A16IVTYAYSV3SA 	In the beginning of summer&#44; hailstorm&#44; cyclone&#44; rains with thunder and lightening etc are common.
2730_191 	A28YA9BQFLXOPT 	This types of storms and rains are the common occurence.
2730_192 	A2LG0SJYIUIRNC 	Local name of this is Kal-Baishakhi.
2730_194 	A16IVTYAYSV3SA 	The period between the months of June to September is the rainy season.
2730_195 	A16IVTYAYSV3SA 	Out of the total annual rainfall of the city i.e. 1582 millimeter&#44; most of it occurs during this period.
2730_196 	A16IVTYAYSV3SA 	The amount of rainfall is the highest during the month of August.
2730_197 	A16IVTYAYSV3SA 	During this time the rate of average rainfall is 306 millimeter.
2730_198 	AZVAVU4OYMG2A 	Kolkata gets annually 2528 hours of sunlight.
2730_199 	A28YA9BQFLXOPT 	In the month of March it gets most of the sunlight.
2730_200 	A2LG0SJYIUIRNC 	Pollution is another main problem of Kolkata.
2730_201 	AKZBNT298EBKI 	Compared to other major cities&#44; Calcutta&#39;s suspended particulate matter or SPM&#39;s rate is so high that it often causes smoke and fog.
2730_202 	A31II4QBW2DURA 	Very high atmospheric pollution has led to increased cases of diseases caused by pollution including lungs cancer
2730_205 	A2LG0SJYIUIRNC 	Cognizant Technology Solution Bhawan&#44; Bidhannagar&#44; Sector Five&#44; Electronics Complex.
2730_207 	AKZBNT298EBKI 	The Calcutta Stock Exchange at Calcutta is the second largest stock market in India
2730_208 	AKZBNT298EBKI 	It is a major trade and military port as well.
2730_209 	AKZBNT298EBKI 	In this region&#44; the only international airport is situated in Calcutta.
2730_210 	AKZBNT298EBKI 	Once capital of India and leading industrial city&#44; Calcutta in post independence era fell victim of turbulent political situation and violent trade union movement&#44; which led her to the path of swift economical degradation.
2730_211 	A16IVTYAYSV3SA 	During the decades of 1960 to 1990&#44; when the investment of capitals had considerably slashed in one hand&#44; the big industries were rapidly being closed in the other hand.
2730_212 	A3F9QBUALMKO1 	Production of most of the factories was reduced.
2730_213 	A3F9QBUALMKO1 	Most of the people relocated their business to other places.
2730_214 	A16IVTYAYSV3SA 	The reduction in resources and capitals combined with the reduction of the demands of the traditional products of these places (like Jute etc.) in the global markets.
2730_215 	A16IVTYAYSV3SA 	Consequently&#44; the economic condition of the city became highly critical.
2730_216 	A16IVTYAYSV3SA 	The liberalization of the Indian Economy in the 1990s proved to be very fruitful for Calcutta.
2730_217 	A3F9QBUALMKO1 	Up to now flexibility in production is the norm of Kolkata&#39;s economy.
2730_219 	A16IVTYAYSV3SA 	For an example&#44; according to a statistics of 2005&#44; the total business value of the street hawkers stands at Rs. 8&#44;772 Crores in Indian currency (around $2 billion).
2730_220 	A16IVTYAYSV3SA 	One of the biggest labor force in the city is the state and central government employees.
2730_221 	A3F9QBUALMKO1 	Along with knowledge workers&#44; a large number of unskilled and semi-skilled labourers can be seen in the city.
2730_222 	A3F9QBUALMKO1 	Information technology played an important role in the economical growth of Kolkata.
2730_223 	A31II4QBW2DURA 	The growth rate of the IT sector in this city is 70%&#44; which is double the national growth rate.
2730_224 	A3F9QBUALMKO1 	In the last few years&#44; a mentionable amount of investment has taken place in the housing infrastructure sector.
2730_225 	A16IVTYAYSV3SA 	At the same time a number new projects have also been taken.
2730_226 	A16IVTYAYSV3SA 	A number industrial units run by the big Indian industrial corporations of India are located in Calcutta.
2730_227 	A3F9QBUALMKO1 	Kolkata is the headquarter of some famous companies such as  ITC Limited&#44; India Government Mint&#44; Kolkata&#44; Haldia Petrochemicals&#44; Exide Industries&#44; Hindustan Motors&#44; Britannia Industries&#44; Bata India&#44; Birla Corporation&#44; CESC Limited&#44; Coal India Limited&#44; Damodar Valley Corporation&#44; PwC India&#44; Peerless Group&#44; United Bank of India&#44; UCO Bank and Allahabad Bank etc.
2730_228 	A31II4QBW2DURA 	Recenly the Central Government  policies like &quot;Look East&quot; has opened the Nathula Mountain way which has opened up the new possibilities of business with China across the border.
2730_229 	A31II4QBW2DURA 	Apart from these&#44; the south Asian countries are willing to enter the Indian market&#44; which is quite favourable for the economic situation of Kolkata.
2730_232 	ADC8VBKOVOCRR 	Kolkata High Court
2730_234 	ADC8VBKOVOCRR 	The Lion Gate of Raj Bhaban
