787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
53283_278 	A3J1PP96QX14U0 	For a number of decades after WWII&#44; the Federal Republic of Germany kept a notably low profile in international relations&#44; because of both its recent history and its occupation by foreign powers.
53283_279 	A3J1PP96QX14U0 	Germany is a founding member of the EEC in 1957&#44; which became the European Union in 1993. It maintains close relations with its neighbors to coordinate EU politics.
53283_281 	A3J1PP96QX14U0 	made it a symbol of East-West tensions and a political battleground in Europe
53283_282 	AL9K2BNO4E0F4 	However&#44; Vostholthic of Valeel Brundt played a major role in the detente of 1970s.
53283_283 	A3J1PP96QX14U0 	In 1999&#44; Chancellor Gerhard Schrder&#39;s government defined a new basis for German foreign policy by taking a full part in the decisions surrounding the NATO war against Yugoslavia and by sending German troops into combat for the first time since World War II
53283_284 	A3J1PP96QX14U0 	The governments of Germany and the United States are close political allies
53283_286 	A3V7G0CFREWGTP 	these two countries depend financially on one another:8.8% of German exports are targeted to U.S. and 6.6% of German imports are produced from the U.S
53283_287 	A3V7G0CFREWGTP 	in other words&#44; 8.8% of U.S. exports are targeted to Germany and 9.8% of U.S. imports are from Germany
53283_288 	A3J1PP96QX14U0 	To show the close relations between US and Germany&#44; the US military has its place in Germany and German military has its position in US (Near the Kisara)
53283_291 	A3V7G0CFREWGTP 	this theory was formulated by Federal Minister for Economic Co-operation and Development(BMZ)and will be implemented by action committees
53283_292 	A3J1PP96QX14U0 	German government followed the development strategy and had a goal to be in the international status.
53283_293 	A3J1PP96QX14U0 	By 2007&#44; the German development authority and human rights authority has formulated 8.96 billion euros&#44; this is 5.9% higher than 2006
53283_294 	A3V7G0CFREWGTP 	this has become the second huge philanthropic nation next only to the United States
53283_296 	A3RS82XNENF2NT 	The international target of 0.7% of GDP has not been achieved
53283_298 	A3RS82XNENF2NT 	The Mecklenburg-Vorpommern participated in a UNIFIL II operation off the coast of Lebanon.
53283_299 	AI5E50BGAUZH2 	Germany&#39;s military have divisions like bundeynevar&#44; pro(old group)&#44; Marine(Navy force)&#44; lufatshape(wind force)&#44; Jantarlar anithatghisyenest( central medical services) and nethraitraphatbasis(Group help services)
53283_301 	A3RS82XNENF2NT 	Conscientious objectors may instead opt for an equal length of Zivildienst (roughly translated as civilian service)&#44; or a six year commitment to (voluntary) emergency services like a fire department&#44; the Red Cross or the THW.
53283_302 	A3RS82XNENF2NT 	In 2003&#44; military spending constituted 1.5% of the country&#39;s GDP.
53283_303 	A3RS82XNENF2NT 	In peacetime&#44; the Bundeswehr is commanded by the Minister of Defence&#44; currently Karl-Theodor zu Guttenberg.
53283_304 	A3RS82XNENF2NT 	If Germany went to war&#44; which according to the constitution is allowed only for defensive purposes&#44; the Chancellor would become commander in chief of the Bundeswehr.
53283_306 	A30DCB3TFOQO3B 	Bundeswehr has 200&#44;500 professional soldiers.According to the present rules 55&#44;000 are 18-25 old compulsory soldiers who should serve for at least nine months&#44;and 2500 aspiring volunteers ready for work any time.
53283_307 	A3J1PP96QX14U0 	Roughly 300&#44;000 reservists are available to the Armed Forces and participate in defense exercises as well as deployments abroad.
53283_308 	A3J1PP96QX14U0 	Since 2001 women can serve in all functions of service without restriction&#44; but they are not subject to conscription.
53283_309 	A3J1PP96QX14U0 	There are presently around 14&#44;500 women on active duty and a number of female reservists who take part in all duties including peacekeeping missions and other operations.
53283_311 	A3J1PP96QX14U0 	As of November 2009[update]&#44; the German military had about 8&#44;300 troops stationed in foreign countries as part of various international peacekeeping forces&#44; including 2&#44;470 Bundeswehr soldiers in Kosovo&#44; 4&#44;520 German troops
53283_312 	A30DCB3TFOQO3B 	In 2009 Defence minister Karl-Theodor zu Guttenberg stated &#44; in Afghanistan there is war like situation. Previously the word war was not used and described as unrest and life or death situation.
53283_314 	A30DCB3TFOQO3B 	thumbnail|population of German occupied areas between 1800-2000 and immigrants between 1975-2000.
53283_316 	A8F58O3WZN974 	The success rate of this in europe is one among the least and the ratio of the children present are found out to maintain a   constant ratio of 1.41.
53283_317 	A8F58O3WZN974 	[123]There were several big cities in Germany. More population is present in Berlin&#44; Hamburg&#44; Munich&#44; Cologne&#44; Frankfurt and stuttgart.
53283_318 	A8F58O3WZN974 	The largest extended city is Rhine-ruhar region(12 million)&#44; in this Dusseldorf(capital of NRW) and some of the cities of   cologne like Essen&#44; Dortmund&#44; Duisburg and Bochum are present.
53283_319 	A8F58O3WZN974 	thumbnail/left/Berlin is the largest city with a population of 3.4 million.
53283_321 	AN9IFNKPF7N1I 	Most of the youngsters belongs to the other countries.
53283_322 	A8F58O3WZN974 	30% of German population are of 15 years of age and atleast 1 of their parents was born in foreign country.
53283_323 	A8F58O3WZN974 	60% of the children belonging to larger cities are below the age of 5 or even lesser age and atleast one of their parents was born in foreign country.
53283_324 	AN9IFNKPF7N1I 	The peoples having the history of the migration in these the biggest national migrated group come from the Tarrky (2.5 millions)&#44; Italy (761&#44;000) and Poland (638&#44;000).
53283_326 	A1UX3BQYCDI1ZV 	because of adding the permissive clauses to the earlier existing refugee and migration laws&#44; the numbers of those immigrants (mostly those from erstwhile Soviet Union) seeking refuge or enquiring about German culture started dwindling down.
53283_328 	A1UX3BQYCDI1ZV 	fully or recognizable German descendants in large numbers
53283_329 	A3RS82XNENF2NT 	we can find in united states(50 millions)&#44;[132]brazil(5 millions)[134] and canada(3 millions)
53283_330 	A1UX3BQYCDI1ZV 	[135] approximately 3 million &quot;Asidler&quot; - traditional Germans&#44; mainly those from Eastern Europe and erstwhile Soviet Union&#44; started resettling in Germany; from 1987.
53283_333 	A1UX3BQYCDI1ZV 	thumbnail|right|upright| the Cologne Cathedral near Rhine River is UNESCO World Heritage Center.
53283_334 	A15YKQU4TT7169 	christianity is regarded as the largest religious tradition in germany.52 million people are following it(64%)
53283_335 	A3RS82XNENF2NT 	there are 26.5 million protestants(32.3%) and 25.5 million(31%) catholics
53283_337 	A1E6RS45GUAFC3 	Followers of Hinduism are around 90&#44;000(0.1%) and 75&#44;000(0.09%) follow Sikh religion.
53283_338 	A1E6RS45GUAFC3 	People&#44; belonging to other religions in Germany are less than 50&#44;000(or less than 0.05%).
53283_339 	AI5E50BGAUZH2 	Approximately about 24.4 million Germans (29.6%) are not following any registered religion.
53283_340 	A1UX3BQYCDI1ZV 	thumbnail|left|Inside Frauenkirche in Dresden.
53283_342 	A1UX3BQYCDI1ZV 	The present Pope&#44; Benedict XVI&#44; was born in Bavaria.
53283_343 	A1E6RS45GUAFC3 	Non-religious people&#44; Atheists and agnostics makeup 29.6% of the population. And&#44; they are mostly in former East Germany and the big cities.
53283_344 	A1UX3BQYCDI1ZV 	Of 4.3 million Muslims&#44; most of them are Sunnis from Turkey and the Alevitas&#44; but few Shi&#39;ites are also included.
53283_345 	A1E6RS45GUAFC3 	In entire country&#44; only 1.7% population have identified themselves as traditional Christians. Arabs and Greeks are not numbered.
53283_347 	A1E6RS45GUAFC3 	In 2004&#44; double the number of Jews from former Soviet Republics settled in Germany&#44; just like Israel. Because of this the total population of Jews reached more than 200&#44;000. This was 30&#44;000 before the unification of Germany.
53283_348 	A1E6RS45GUAFC3 	Berlin&#44; Frankfurt and Munich were the big cities with Jewish population.
53283_349 	A1E6RS45GUAFC3 	Around 250&#44;000 enthusiastic Buddhists live in Germany; 50% of them migrated from Asia.
53283_350 	A1E6RS45GUAFC3 	According to the Euro barometer Poll 2005&#44; 47% of German citizens accepted the statement &quot;I believe that there is a God&quot;&#44; But 25% believe that - &quot;I believe that there is some sort of power or life force&quot; and 25% said &quot;I do not believe there is any sort of power&#44; god&#44; or life force&quot;.
53283_352 	A1E6RS45GUAFC3 	Knowledge of German in EU countries
53283_353 	A1E6RS45GUAFC3 	German language is the official and predominantly spoken language in Germany.
53283_354 	A1E6RS45GUAFC3 	It is one of 23 official languages in the European Union&#44; and along with English and French it is one of the three working languages of the European Commission.
53283_355 	A1E6RS45GUAFC3 	Recognized local minority languages in Germany are Danish&#44; Sorbian&#44; Romany&#44; and Frisian.
53283_357 	A3RS82XNENF2NT 	most foreign languages used are turkish&#44;polish&#44;balkan languages and russian
53283_358 	A3RS82XNENF2NT 	the language of west germany is authenticated and it is having close relation with english&#44;dutch and prussian language and included in their category
53283_359 	A2M3NIA5MQX8G3 	Some part of this language is related to the east and north languages of the Germany.
53283_360 	A3RS82XNENF2NT 	most of the german words are born from the indian-europe language family
53283_362 	A15YKQU4TT7169 	German is written using the latin lettersforms.
53283_363 	A15YKQU4TT7169 	Along with 26 standard letters german had also 3 vowels.they are a&#44;o and u&#44;along with these essage or sachefers.it is wriiten as B
53283_364 	A3RS82XNENF2NT 	german writings are entirely different from ancient germany policies
53283_365 	A3RS82XNENF2NT 	these german writings belong to traditional local policies and these different german tribes
53283_367 	AN9IFNKPF7N1I 	Through out the world &#44; there are 100 million people who speak German &#44; but 80 million people among them does not belong to that country
53283_368 	AN9IFNKPF7N1I 	In the European countries 90 million (18%) people have German as their first language.
53283_369 	AI5E50BGAUZH2 	67% of German people can communicate in any one foreign language and 27% of the people can communicate in 2 other languages apart from their native language.
53283_372 	ADOXDQPX17PHN 	Germany has the largest national economy in Europe&#44; the fourth largest by nominal GDP in the world&#44; and ranked fifth by GDP (PPP) in 2008.
53283_373 	ADOXDQPX17PHN 	Since the age of industrialisation&#44; the country has been a driver&#44; innovator&#44; and beneficiary of an ever more globalised economy.
53283_374 	AN9IFNKPF7N1I 	In 2006&#44; 133 trillion exports(including European countries) Germany stands at number one position in the world and 165 billion profit is gained.
53283_375 	ADOXDQPX17PHN 	The service sector contributes around 70% of the total GDP&#44; industry 29.1%&#44; and agriculture 0.9%.
53283_377 	A3V7G0CFREWGTP 	Germany stands first in the world&#44; in the production of wind mills and solar energy technology.
53283_378 	A1UX3BQYCDI1ZV 	In such German cities as Hanover&#44; Frankfurt and Berlin huge annual international trade fairs and conferences are held.
53283_379 	A1UX3BQYCDI1ZV 	thumbnail|left| Frankfurt is a big commercial center&#44; Center for Europe&#39;s Central Bank and world aviation center.
53283_380 	A3V7G0CFREWGTP 	Out of the world&#39;s 500 biggest organizations that were included in the stock market list by considering their income through Fortune Global 500&#44; 37 organizations have their head offices in Germany.
53283_382 	A1UX3BQYCDI1ZV 	Very big managements included Deutsche Post&#44; Robert Bosch GmbH and Edeka.
53283_383 	AN9IFNKPF7N1I 	The world famous brands are Marisdes benz&#44; SAP&#44; BMW&#44; Adidas&#44; Adi&#44; Poresh&#44; Focus Hagen and Niviya.
53283_384 	A1UX3BQYCDI1ZV 	Germany is advocating for more European economic cooperation and political unity and increasing of agreements between European Union (EU) members and decisions for regulation of the European Union integrated trade order.
53283_385 	A3V7G0CFREWGTP 	Germany uses the common European currency&#44; Euro and its currency method is prepared by European bank located in Frankfurt.
53283_387 	A1WCVMMFKMAB0C 	From 1 January 1999 each euro is considered as   1.95583 German marks for calculation purpose
53283_388 	A1Z53763UXALP 	Real Euro coins and bank notes came into effect from 1st january 2002.
53283_389 	A1Z53763UXALP 	There were major changes in living standards and yearly income in the states of western Germany&#44; after 1990 German unification.
53283_390 	A1Z53763UXALP 	Modernization and calculations in East Germany will take place over a long period till 2019. Every year there were exchanges of 0 billions from West to East.
53283_392 	AQYLTGQE4K8FV 	This unemployment rate varies from 6.2% in west Germany to that of 12.7% in East Germany.
53283_393 	A1Z53763UXALP 	Following the decline of world and Europe&#44; in 2008 second and third quarters&#44; the low GDP has put Germany into technically declining nation.
53283_394 	AQYLTGQE4K8FV 	In January 2009 Government of Germany Released 50 Billion Euros for helping the sectors which are facing downfall and also to help the unemployed people.
53283_397 	AHM1AU2VOWNJ1 	Germany became transport capital because it was center of Europe.
53283_398 	A1UX3BQYCDI1ZV 	It is reflective in its excessive and modern transporting abilities.
53283_399 	A1UX3BQYCDI1ZV 	Extensive vehicular path system (Autobahn) is the third biggest in length in the world and all its main paths are not having same limits.
53283_402 	A1UX3BQYCDI1ZV 	Intercity express or ICE Deutsche Bahn&#39;s most sophisticated help center and this is providing service to many German cities and also destinations across surrounding countries.
53283_403 	A1RAFJLFW2X2V6 	This train&#39;s highest speed varies in between 160km/hour   and 300kms/hour
53283_404 	A1UX3BQYCDI1ZV 	Trains are available every 30-minutes&#44; hour or two-hour periods.
53283_406 	A1UX3BQYCDI1ZV 	Germany is the fifth largest consumer of energy and in 2002&#44; imported two-thirds of its primary energy requirement.
53283_408 	A3RS82XNENF2NT 	Government policy promotes energy conservation and the development of renewable energy sources&#44; such as solar&#44; wind&#44; biomass&#44; hydroelectric&#44; and geothermal energy.
53283_409 	A3RS82XNENF2NT 	As a result of energy-saving measures&#44; energy efficiency has been improving since the beginning of the 1970s
53283_410 	A3RS82XNENF2NT 	The government has set the goal of meeting half the country&#39;s energy demands from renewable sources by 2050.
53283_411 	A3RS82XNENF2NT 	In 2000&#44; the government and the German nuclear power industry agreed to phase out all nuclear power plants by 2021
53283_413 	A3RS82XNENF2NT 	In 2006&#44; energy consumption was met by the following sources: oil (36%); coal&#44; including lignite (24%); natural gas (23%); nuclear (13%); hydro and wind power (1%); and other (4%).
53283_414 	A3RS82XNENF2NT 	However&#44; the share of renewable energy in electricity supply has been rapidly increasing&#44; reaching 14% in 2007.
53283_415 	A3RS82XNENF2NT 	The German government has set a new target to increase this share to 27% by 2020.
53283_418 	AI1HQO6HZCVT7 	Germany became center for the famous technological scientists.
53283_419 	ADOXDQPX17PHN 	(187)Nobel prize was awarded to 103 prominanant persons from Germany.
53283_420 	AN9IFNKPF7N1I 	[188][189] Albert Einstein and Macus Halank developed the modern physics after that Hosenburg and Makus boran developed the modern physics.
53283_421 	ADOXDQPX17PHN 	These people exist prior to the physics scientista like Hermann von Helmholtz&#44;Joseph von Fraunhofer&#44;Daniel Gabriel Fahrenheit.
53283_423 	AN9IFNKPF7N1I 	Due to the experiment he got a Nobel prize in 1901&#44; first time in Physics.
53283_424 	ADOXDQPX17PHN 	Wernher von Braun&#44; the Space Engineer had developed the Space ship for the first time and was an important member in the NASA team.Further development of  the Moon Space ship has led to  sucess of space exploration in US.
53283_425 	ADOXDQPX17PHN 	In the conference of  electromagneti diffraction &#44;the sincere efforts of Heinrich Rudolf Hertz was  very important for the development of modern  Telecommunications.
53283_426 	ADOXDQPX17PHN 	(192) In 1879&#44; through the formation of  one of the first formal laboratories for psychological research at the University of Leipzig.&#44;Wilhelm Wundt become wellknown in establishing the   psychology as an independant scince based on experiences.
53283_428 	ADMENGADDLNDK 	Spacious and clean rooms for the preparation of micro electronics in Stuttgart.
53283_429 	ADMENGADDLNDK 	Many famous mathematicians were born in Germany. Carl Frederick Gassa&#44; David Hilberet&#44; Bernard Reemas&#44; Gotfired Leibnitz&#44; Carl Vertrauss and Herman Well are among them.
53283_430 	AL9K2BNO4E0F4 	Germany is the home for many famous inventors like Johannes Gootenberg who established mobile printer in Europe&#44; Hans Zeeger who invented Zeeger script&#44; Conard Juse who built the very first automatic digital computer.
53283_431 	A30DCB3TFOQO3B 	Count Ferdinand Von Zeppelin&#44;Otto Lilienthal&#44;Gottlieb Diamler&#44;Rudolf Diesel&#44;Hugo Junkers and Karl Benz are some of the German inventors&#44;engineers and industrialists who helped in shaping modern self propelling and gas transmission technologies.
53283_433 	ADMENGADDLNDK 	They are independently or externally affiliated to universities and are helping the scientific processes a lot.
53283_434 	ADMENGADDLNDK 	Every year&#44; ten scientists and professors are awarded the prestigious Gatiefred Villhelem Leibnetz award.
53283_435 	A30DCB3TFOQO3B 	With 2.5 million euros of trust fund  for every prize&#44;this is one one of the highest research prizes in the world.
53283_438 	A3RS82XNENF2NT 	Responsibility for educational oversight in Germany lies primarily with the federal states individually&#44; whilst the federal government only has a minor role.
53283_439 	A3J1PP96QX14U0 	Optional kindergarten education is provided for all children between three and six years old&#44; after which school attendance is compulsory for at least nine years
53283_440 	A3RS82XNENF2NT 	Primary education usually lasts for four years and public schools are not stratified at this stage
53283_441 	A3RS82XNENF2NT 	In contrast&#44; secondary education includes three traditional types of schools based on a pupil&#39;s ability as determined by teacher recommendations: the Gymnasium enrolls the most gifted children and prepares students for university studies&#44; and attendance lasts eight or nine years depending on the state; the Realschule has a broader range of emphasis for intermediate students and lasts six years; the Hauptschule prepares pupils for vocational education
53283_443 	A3RS82XNENF2NT 	Since the 1960s&#44; a reform movement attempted to unify secondary education in a Gesamtschule (comprehensive school).
53283_444 	A3RS82XNENF2NT 	However&#44; instead of overcoming the stratification&#44; Gesamtschule just became a fourth type of secondary school.
53283_445 	A3J1PP96QX14U0 	Since about 2000&#44; several West German Lnder simplified their school system to two or three tiers.
53283_446 	A3RS82XNENF2NT 	Motives were: The example of Eastern Germany where in the 1990s&#44; following reunification&#44; a two-tier school system was established; mediocre scores in the Programme for International Student Assessment (PISA)&#44; first published in 2001&#44; prompted a nation-wide debate about the school system&#44; and in particular about the social selectivity of early stratification; having low standards of achievement&#44; inner-city Hauptschulen were increasingly considered dysfunctional by some people; outside the metropoles&#44; the population is shrinking&#44; so that according to some people it becomes increasingly unpractical to maintain a three- or four-tier school system.
53283_449 	A3RS82XNENF2NT 	To enter a university in Germany&#44; high school students are generally required to take the Abitur examination&#44; which is similar to A-levels in the UK and typically done at the age of 18 or 19 in the gymnasium
53283_450 	A3RS82XNENF2NT 	However&#44; students possessing a diploma from a vocational school may also apply for matriculation in certain subjects.
53283_451 	A3RS82XNENF2NT 	Germany&#39;s universities are recognised internationally&#44; indicating the high education standards in the country.
53283_452 	A3RS82XNENF2NT 	In the ARWU ranking for 2008&#44; six of the top 100 universities in the world are in Germany&#44; and 18 in the top 200
53283_456 	A3RS82XNENF2NT 	Ludwig van Beethoven (17701827)&#44;musician right
53283_457 	A3RS82XNENF2NT 	Germany is historically called Das Land der Dichter und Denker (the land of poets and thinkers).
53283_458 	A3RS82XNENF2NT 	German culture began long before the rise of Germany as a nation-state and spanned the entire German-speaking world.
53283_460 	AL9K2BNO4E0F4 	As a result&#44; it is very difficult for Europe which is in a very big boundary and with a very highly developed culture&#44; to recognise separately the clear German culture.
53283_461 	AL9K2BNO4E0F4 	Another result of this situation is that though some historic persons like Volfagyang Amedius Mozart&#44; Harenz Kafka and Herr Nelen were not German citizens in the modern sense&#44; to understand their historical conditions&#44; work related and social relations&#44; we have to consider them within the context of the German culture.
53283_462 	A103J4U2OBEZU3 	thumbnailupright|left|Bules Fred|&#44; 1911 Farenz Marck (1880-1916)
53283_463 	AL9K2BNO4E0F4 	In Germany&#44; the Union states take responsibility for cultural organisations.
53283_465 	AL9K2BNO4E0F4 	Millions of people are now enjoying these cultural facilities: per year more than 91 nillion people visit the German Museums; in an year&#44; 20 million people go to exhibition places and to music dramas; and 3.6 million people listen to the great music concerts.
53283_467 	AL9K2BNO4E0F4 	Classical musicians of world fame are among Germans.  Some of them are LUdvig Han Bethoven&#44; Johann Sebastian Bach&#44; Johanns Berhams and Richard Hagrane.
53283_468 	AL9K2BNO4E0F4 	By 2006&#44; Germany was the fifth biggest market for music and Pop and Rock music were influenced and popularised by artists like Kraftwark&#44; Skravyanas&#44; and Ramstan.
53283_471 	A3J1PP96QX14U0 	Hans Holbein the Younger&#44; Matthias Grnewald&#44; and Albrecht Drer were important artists of the Renaissance&#44; Caspar David Friedrich of Romanticism&#44; and Max Ernst of Surrealism.
53283_472 	A3J1PP96QX14U0 	Architectural  contributions from Germany include the Carolingian and Ottonian styles&#44; which were important precursors of Romanesque.
53283_473 	A3J1PP96QX14U0 	The region later became the site of significant works in styles such as Gothic&#44; Renaissance and Baroque.
53283_474 	A3J1PP96QX14U0 	Germany was particularly important in the early modern movement&#44; especially through the Bauhaus movement founded by Walter Gropius. Ludwig Mies van der Rohe&#44; also from Germany&#44; became one of the world&#39;s most renowned architects
53283_476 	AL9K2BNO4E0F4 	The concept of buildings with many floors and glass surfaces is his.
53283_477 	A3J1PP96QX14U0 	German literature can be traced back to the Middle Ages and the works of writers such as Walther von der Vogelweide and Wolfram von Eschenbach.
53283_478 	AL9K2BNO4E0F4 	Many German writers and poets earned great fame.  Among these are Johan Volfgyang Von Goethe and Fredreich Shiller.
53283_479 	A3J1PP96QX14U0 	The collections of folk tales published by the Brothers Grimm popularised German folklore on an international level. Influential authors of the 20th century include Thomas Mann&#44; Bertolt Brecht&#44; Hermann Hesse&#44; Heinrich Bll&#44; and Gnter Grass
53283_482 	A3J1PP96QX14U0 	Immanuael kant (1724-1804) representative
53283_483 	A3J1PP96QX14U0 	At the beginning of the German Revolution&#44; Germany was declared a republic and the monarchy collapsed. However&#44; the struggle for power continued&#44; with radical-left communists seizing power in Bavaria&#44; but failing to take control of all of Germany.
53283_484 	A3J1PP96QX14U0 	Suffering from the Great Depression&#44; the harsh peace conditions dictated by the Treaty of Versailles&#44; and a long succession of more or less unstable governments&#44; the people of Germany increasingly lacked identification with their political system and the &quot;Establishment Parties&quot; in their parliamentary democracy. This was exacerbated by a widespread right-wing (monarchist&#44; vlkisch&#44; and Nazi) Dolchstolegende&#44; which promoted the view that Germany had lost World War I because of the efforts and influence of those who wanted to overthrow the government. The top brass of the Weimar government was accused of betraying the German Nation by signing the Versailles Treaty&#44; while the radical left-wing communists&#44; such as the Spartacist League&#44; had wanted a revolution to abolish &quot;capitalist rule&quot; in favour of a Rterepublik&#44; and were also targeted.
53283_486 	A20TYKNP46IORG 	Of all the books publish across the world&#44; 18% have been exported from German company
53283_487 	A3J1PP96QX14U0 	(2008&#44; Frankfurt book fair)
53283_488 	A3J1PP96QX14U0 	There are 34 million households with TV. Germany&#39;s Television Market is the biggest in the European Countries.
53283_489 	A3J1PP96QX14U0 	Many National and International programs are telecast with all the relevant programs
53283_491 	AMKGJUEEY6ZCH 	Paying for TV telecasting did not get popularity&#44; so public Telecasting services TV got connected with Digital Range Telecasting services by implementing ZDF and ARD technology in telecasting.
53283_492 	A15YKQU4TT7169 	germany is like the home for biggest transmission device&#39;s   arrival&#44;In this bertelanmas and accel sevenagar Ag are also there.
53283_493 	AMKGJUEEY6ZCH 	Germany&#39;s best Telecasting TV Networks which are telecasting freely are under management of ProSiebenSat 1.
53283_494 	A31PUL91ZMCDBU 	every year germany publishes 60&#44;000 new books from the book market
53283_496 	AMKGJUEEY6ZCH 	Around the world Frankfurt&#39;s Book exhibition is the biggest book exhibition in the entire world&#44; this is being done as a tradition in Frankfurt from past 500 years.
53283_497 	AMKGJUEEY6ZCH 	There separate news channels in this country&#44; for English language there is a separate channel which telecasts the news in English language and country&#39;s local language Dutch had a separate news channel.
53283_498 	AMKGJUEEY6ZCH 	The list of websites that are hugely surfed by the people of Germany in December 1980 are Google.de (Google)&#44; Google.com&#44; You tube website(You tube)&#44; ebay website(eBay)&#44; Wikipedia website(Wikipedia)&#44; Yahoo website(Yahoo)&#44; Amazon.de website (Amazon.de) and gmx.net.
53283_501 	A3J1PP96QX14U0 	German&#39;s first film festival is one of the world&#39;s leading film festivals and most reputable media events
53283_502 	AL9K2BNO4E0F4 	Specifically&#44; it got influenced by German intellectuals like Robert Veen and Frederick Vilhelam Murnu of the Veemer Republican times.
53283_503 	A3J1PP96QX14U0 	Austrian-based director Fritz Lang&#44; who became a German citizen in 1926 and whose career flourished in the pre-war German film industry&#44; is said to have been a major influence on Hollywood cinema
53283_504 	A3J1PP96QX14U0 	His silent movie Metropolis (1927) is referred to as the birth of modern Science Fiction movies.
53283_506 	AL9K2BNO4E0F4 	The intellectual documentary Berlin: Symphony of a Great City&#44; directed by Helter Rutman&#44; is an example of urban universal class.
53283_507 	A3J1PP96QX14U0 	The Nazi era produced mostly propaganda films although the work of Leni Riefenstahl still introduced new aesthetics to film.
53283_508 	A3J1PP96QX14U0 	The Berlinale Palast during the Berlin Film Festival in February 2007
53283_509 	A3J1PP96QX14U0 	During the 1970s and 80s&#44; New German Cinema directors such as Volker Schlndorff&#44; Werner Herzog&#44; Wim Wenders&#44; and Rainer Werner Fassbinder put West German cinema back on the international stage with their often provocative films
53283_511 	AI1HQO6HZCVT7 	(2003)&#44; Gegan Die Hand (Head-on) (2004)&#44; Dire Untragang (Downfall) (2004) and Dry Bird myanolf complex (2008) movies were internationally successful.
53283_512 	A1WCVMMFKMAB0C 	Academy award for Best Foreign language cinema   is given to German movie like Die Blake Tormamel (The  Tin Drum) in 1979&#44; in 2002 for No where in Africa&#44;  and Das Leben ther Anedren (The Lives of Adress) in 2007.
53283_513 	A1WCVMMFKMAB0C 	Most popular actors are Marlen Theathrich&#44; Clues Kinisk&#44;  Hanan Suchagall&#44; Ariman Muller - Sthahal&#44; Buregn   Porchan and Thomas Kerthaschaman.
53283_514 	A3RS82XNENF2NT 	berlin film festival&#44;held on every year since 1951 is one of the first film festivals of the world
53283_516 	A1WCVMMFKMAB0C 	Berlin which is the Center for European Film   Academy (EFA) will conduct Film awards festival in   every second year.
53283_517 	A3RS82XNENF2NT 	babelserberg studios in nosterdam is one of the worlds oldest studios and the centre for international film production
53283_519 	A3RS82XNENF2NT 	michael schumacher won the formula one championship seven times
53283_521 	A2M3NIA5MQX8G3 	27million Germans are members of sports club and personally 12 million are participate.
53283_522 	A1WCVMMFKMAB0C 	[228] Joint football games has good popularity
53283_523 	A1WCVMMFKMAB0C 	Germany football association with 6.3 million official  members (Dacher football - band) is the biggest   of those kind of associations.
53283_524 	A1WCVMMFKMAB0C 	[229]Bunedhsilga is having worlds second highest  average attendance compared to any other professional  game association.
53283_526 	A1WCVMMFKMAB0C 	Germany has organized FIFA world cup in 1974 and 2006  and UEFA european foot ball championship in 1988.
53283_528 	A3QL2TAO2U5TM9 	people who were present were forenz becnunair&#44; gerad muller&#44; jurgen killsman&#44; lothar mathews and oliver khan.
53283_529 	A1WCVMMFKMAB0C 	Handball&#44; Volley ball&#44; Basket ball&#44; Ice hocker are the  other games that viewers will be interested in .
53283_532 	A1WCVMMFKMAB0C 	Germany is leading world motor sports.
53283_533 	A3V7G0CFREWGTP 	The winning cars&#44; teams and drivers all came from Germany
53283_534 	A1WCVMMFKMAB0C 	History &#39;s largest winner of Formula 1 driver  Michael Shoe Maker&#44; recorded many unbelievable  records in his professional life and form the  first Formula 1 race started in 1946&#44; he has won  many Formula 1 championships that no other driver  won.
53283_535 	A3V7G0CFREWGTP 	This is the highly paid and billionaire sportsman in the history.
53283_537 	A3V7G0CFREWGTP 	Porsche won 16 times in 24 Hours of a Laymen&#44; a reputed annual competition held in France.
53283_538 	A3V7G0CFREWGTP 	Dhyunke Tauren Hagen Masters is the most popular rank in Germany.
53283_539 	A1WCVMMFKMAB0C 	Historically&#44; Germany players stood as the most  winning competitors. In all season Olympic games&#44;  in the count of medals north and south Germany  together stood in the third place.
53283_540 	A1WCVMMFKMAB0C 	In 2008 summer Olympics&#44; Germany stood at 5th  place in medal counting&#44; [234] but they have  completed 2006 Olympics in first place.
53283_542 	A3RS82XNENF2NT 	germany hosted the summer olympics two times&#44;first time in 1936 in berlin and second time in 1972 in munich
53283_543 	AK7QRKS6GOS4R 	Winter Olympic Games were held in Germany in 1936. The Bavarian twin cities Garimesh and Haretenkarchan were the Venue.
53283_546 	A1WCVMMFKMAB0C 	Germany cooking style changes from place to place.
53283_548 	AK7QRKS6GOS4R 	Germans primarily use pork or beef and pet birds meat is also included. Among these&#44; people relish pork.
53283_549 	AK7QRKS6GOS4R 	In all&#44; in most of the places&#44; meat is consumed like vegetables.
53283_550 	AK7QRKS6GOS4R 	In Germany 1500 varieties of vegetables are grown.
53283_551 	AK7QRKS6GOS4R 	Among vegetables people mostly like potatoes&#44; cabbage&#44; carrot&#44; ajunmoto&#44; spinach and beans are also included.
53283_553 	A3J1PP96QX14U0 	The popular saying of Germany Eat breakfast like a king&#44; lunch like a prince&#44; and dinner like a beggar
53283_554 	A1WCVMMFKMAB0C 	Normally morning food will have Bread rolls with   Jam and Honey&#44; Cool mutton with cheese and sometimes   boiled eggs.
