54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
9201_175 	A2GGFBEGFXJFRS 	All the terrorists wanted from justice - a gift
9201_176 	A2GGFBEGFXJFRS 	A collection of articles on law&#44; terrorism and patriotic security.
9201_177 	A1ZW3EUAHC0BSH 	&quot;The Security Constitution&#44;&quot; UCLA Law Review&#44; volume 53&#44; No. 29.2005
9201_178 	A1ZW3EUAHC0BSH 	The Enemy Within&#44; Pebs border in October 2006
9201_180 	A2GGFBEGFXJFRS 	An article on terrorism and Israel
9201_181 	A2GGFBEGFXJFRS 	Ariel Marari&#44;&quot; Strategy in terrorism&quot;&#44; terrorism and political violence in the name of terrorism&#44; volume 5&#44; No 4(winters 19930&#44; PP 213-251
9201_182 	A2GGFBEGFXJFRS 	Israel&#39;s world terrorism desk
9201_183 	A2GGFBEGFXJFRS 	Victims of Palestine&#39;s violence and terrorism after September 2000
9201_185 	A3R0SD14UE0QQW 	About Kassam-Saderot Media Center.
9201_186 	A1CWCJ8MKSQHPI 	Poison of the Heaven: Struggle of learning&#44; development and terrorism by study of Sri lanka&#39;s domestic wars/struggles&#44; by John Richardson.
9201_187 	A1CWCJ8MKSQHPI 	Weapons of mass destruction KK Ontologies and Terrorism.
9201_188 	A1CWCJ8MKSQHPI 	Accepted by the Indian Constitution&#44; Alex P. Schmid&#39;s Terrorism&#39;s 2003 power (Madan Singh versus Bihar State.)defining Terrorism&#44;comparing terror acts with peace.
9201_190 	A3R0SD14UE0QQW 	Published in : Magazine history and social science&#44; part 13&#44; edition 2 2002&#44; page 139-142 DOI : 10.1080/0275720022000001219.
9201_191 	A3R0SD14UE0QQW 	Schmid and Jongman (1988) : &quot;Terrorism a concern - Inspiriting way of repeated violence action  (half&#44; criminal nature or due to political reasons) disguised person&#44; group or state actors&#44; which is opposite of murder - the main aim is not the violence. Present victim of human violence selected without any serial or opportunity from a population (aim for representative or symbolism) and the message works as generator.
9201_192 	A3R0SD14UE0QQW 	Staff America encouraged a violence in terrorism. Supported world treasury &quot;done by American government and Latin America by their staffs.
10138_100 	A115PREVPO3IK7 	There he met  Musollini&#44; the Head of Italy&#44; who promised to help him in the movement of indian independence
10138_101 	A13R3YPXVI2T7X 	Irish leader De Vallera became a fast friend of Subhash Babu.
10138_102 	AYDB3VGUW1ESM 	While Subashbabu was  in Europe&#44; Pandit Jawaharrlal Nehru&#39;s wife Kamala Nehru died in Austria.
10138_103 	AYDB3VGUW1ESM 	Subashbabu went there and gave his condolences to Pandit Jawaharrlal Nehru.
10138_105 	AYDB3VGUW1ESM 	Subhashbabu along with Vithalbhai Patel popularized the Patel-Bose analysis&#44; in which both of them deeply criticized Gandhi&#39;s ideologies.
10138_106 	AYDB3VGUW1ESM 	Subhashbabu took great care of Vithalbhai Patel when he fell ill later.
10138_108 	A5L716F3F5R7V 	In his will Vitthal bhai patel named all his billions of property to Subash babu.
10138_110 	A2GGFBEGFXJFRS 	After winning the case Sardar Vallabh Bhai Patel gave all the money to Gandhi&#39;s Harijan welfare organisation.
10138_111 	A2GGFBEGFXJFRS 	In 1934 Subhashbabu got news of his father lying on his death bed.
10138_112 	A1ESKJFDQUMBL4 	So they returned  by airplane to Calcutta via Karachi.
10138_113 	AYDB3VGUW1ESM 	In Karachi he was informed that his father had died.
10138_119 	AVWWDENWU115I 	Netaji Subhashchandra Bose&#44; with Mahatma Gandhi in Haripura in 1938
10138_120 	A3P2WQO8VESWF2 	In 1938&#44; the annual session of congress was decided to be held on Haripura.
10138_121 	A3P2WQO8VESWF2 	Before this session Gandhiji selected Subhashbabu as the president of congress.
10138_123 	A112IE8PQYXT3Q 	So Congress president Subhasbabu was welcomed in a chariot carried by 51 bulls.
10138_124 	A112IE8PQYXT3Q 	In this convention presidential address of Subhas Babu was very effective.
10138_125 	A112IE8PQYXT3Q 	Seldom had an Indian politician given such an effective speech.
10138_126 	A3P2WQO8VESWF2 	Subhashbabu formed the planning commission during his tenure as the congress president.
10138_128 	A3NOO9K3CY1YU5 	Subashbabu organized a Science Summit in Bangalore&#44; headed by the famous scientist Sir Visveswarayya
10138_129 	A3NOO9K3CY1YU5 	In 1937&#44; Japan invaded China.
10138_130 	A3NOO9K3CY1YU5 	Under the leadership of Subashbabu Congress decided to help the people of China by sending a medical team headed by Dr.Dwarakanath Kotnis
10138_131 	A3NOO9K3CY1YU5 	Later&#44; when Subashbabu consulted with Japan in the matter of Indian independence&#44; many started calling Subashbabu&#44; a spy  of Japan and a Fascist
10138_133 	A3NOO9K3CY1YU5 	Resignation as Chairman of Congress
10138_134 	A3NOO9K3CY1YU5 	Though Gandhiji selected Subashbabu for the post of Chairman of the Congress party in 1938&#44; he did not like Subashbabu&#39;s way of functioning.
10138_135 	A3NOO9K3CY1YU5 	During this time&#44; the clouds of World War-II descended upon Europe.
10138_136 	A3P2WQO8VESWF2 	Subhashbabu wished to take advantage of the difficulty of England&#44; and to make the freedom struggle of India more fierce.
10138_138 	A2LYOB8VY6O68R 	Gandhiji did not agree to this line of thinking.
10138_139 	A2LYOB8VY6O68R 	In the year 1939&#44; when the new congress president was to be elected&#44; Subashchandra Bose wanted a man who will not succumb to outside pressures.
10138_140 	A3P2WQO8VESWF2 	As no such individual came forward&#44; Subhashbabu himself wanted to be the congress president.
10138_141 	A3P2WQO8VESWF2 	But Gandhiji wanted to remove him from the post of congress president.
10138_143 	A2LYOB8VY6O68R 	Poet Ravindranath Thakur wrote a letter to Gandhiji and requested him to retain Subashbabu as the president.
10138_144 	A2LYOB8VY6O68R 	Scientists like Prafullachandra Rai and Meghnad Saha also wanted to see Subashbabu as the president.
10138_145 	A3P2WQO8VESWF2 	But Gandhiji did not listen to anyones words in this matter.
10138_146 	A3P2WQO8VESWF2 	In the absence of any negotiations&#44; after many years&#44; election was held for congress president post.
10138_148 	A1OWDSNOZ9A4WG 	But in reality&#44; Subhasbabu received 1580 votes in election and Pattabhi Sitarmayya receiveed 1377 votes.
10138_149 	A3P2WQO8VESWF2 	In spite of Gandhiji&#39;s opposition Subhashbabu won this election with 203 votes.
10138_150 	A3P2WQO8VESWF2 	But the issue did not end with the result of election.
10138_151 	A1OWDSNOZ9A4WG 	Gandhiji claimed the defeat of Sitarmayya as his own defeat and told his colleagues that if they are not satisfied by Subhashbabu&#39;s methods&#44; they can leave the Congress.
10138_153 	A1OWDSNOZ9A4WG 	Pandit Jawaharlal Nehru remained neutral and remained alone with Sahardbabu Subahashbabu
10138_154 	A1OWDSNOZ9A4WG 	In 1939 the annual congress meeting was held in Tripuri.
10138_155 	A112IE8PQYXT3Q 	At the time of this convention Subhash Babu got so ill that he had to come to convention lying on a stretcher.
10138_156 	A1OWDSNOZ9A4WG 	Gandhiji did not attend this meeting.
10138_158 	A13R3YPXVI2T7X 	Subhash Babu tried a lot to compromise after the conference.
10138_159 	A12RFYR8EDBN79 	but Gandhiji and his partners didn&#39;t listen to him.
10138_160 	AG1D5L9BVQHIR 	at last Sybahsh babu could not do any thing
10138_161 	A13R3YPXVI2T7X 	At the end after getting frustrated&#44; on 29 April&#44; 1939 Subhash Babu resigned from the post of Congress President.
10138_163 	A13R3YPXVI2T7X 	On 3 May 1939 Subhash Babu founded his own party named Forward Block under Congress.
10138_164 	A13R3YPXVI2T7X 	After a few days Subhash Babu was expelled from Congress.
10138_165 	AG1D5L9BVQHIR 	then Forward block became an independant party.
10138_166 	A13R3YPXVI2T7X 	Just before beginning of Second World War&#44; Forward Block began a movement to educate the people to sharpen the independence movement more and more.
10138_168 	A3NOO9K3CY1YU5 	Subhash babu did not want to remain idle in the jail&#44; during the World War-II.
10138_169 	A3NOO9K3CY1YU5 	Subhash started a fast-until-death in jail&#44; to build pressure on the Government to release him.
10138_170 	A3NOO9K3CY1YU5 	Then&#44; the government released him.
10138_171 	A3NOO9K3CY1YU5 	But the British Government did not want Subhash to remain free during war.
10138_174 	AVWWDENWU115I 	To escape from house arrest Subhashbabu made a plan|
10138_175 	A3P2WQO8VESWF2 	On 16 January 1941&#44; to spoof the police&#44; he put on the dress of one Pathan Mohammed Jiyauddeen and escaped from his house.
10138_176 	A3NOO9K3CY1YU5 	Shishir&#44; the elder son of Sarat babu took him in his own vehicle to Gomoh&#44; far away from Calcutta.
10138_178 	A1UG3GWFWR27M8 	In Peshavar&#44; he met Miya Akbar Shah&#44; a colleague from the Forward Block.
10138_179 	A1UG3GWFWR27M8 	Miya Akbar Shah arranged him to meet Bhagatram Talwar from Kirti Kisan Party.
10138_180 	A1UG3GWFWR27M8 	With Bhagatram Talwar&#44; Subhashbabu started off  towards Kabul&#44; the capital of Afghanistan.
10138_181 	A1UG3GWFWR27M8 	In this journey&#44; Bhagatram Talwar assumed the name of Rahamatkhan Pathan and Subhashbabu disguised as his deaf and dumb uncle.
10138_183 	A1UG3GWFWR27M8 	In Kabul&#44; Subhashbabu stayed in the house of one Indian merchant named Uttamchand Malhotra.
10138_184 	A1UG3GWFWR27M8 	There he tried to enter the Russian Embassy.
10138_185 	A1UG3GWFWR27M8 	After failing to do that&#44; he tried to enter the German and Italian Embassies.
10138_186 	APH5QH4BC1AXB 	His attempt in the Italian Embassy was successful.
10138_188 	A3NOO9K3CY1YU5 	Finally&#44; Suhbash babu&#44; disguised as an Italian by name&#44; Orlando Matsuta&#44; went by rail from Kabul to Russian capital Moscow from where he reached Berlin&#44; the capital of Germany.
10138_189 	A3G5KNQKP3O4KN 	He travelled to nazi germany and met Hitler
10138_190 	A3NOO9K3CY1YU5 	At the outset&#44; Subash babu met other leaders of Germany like Ribontrop&#44; in Berlin.
10138_191 	A3NOO9K3CY1YU5 	He established Indian Independence Party and  Free India Radio&#44; while in Germany.
10138_193 	A3LUZGXWWKWX3G 	German government Minister Adam Faun Trout became good friend of Subhas Babu
10138_194 	A3NOO9K3CY1YU5 	Finally&#44; on May 29&#44; 1942&#44; Subash babu met Germany&#39;s top-most leader Adolf Hitler.
10138_195 	A3G5KNQKP3O4KN 	But hitler was not interested in india&#39;s topics
10138_196 	A3NOO9K3CY1YU5 	He did not make any firm commitment to help India.
10138_198 	A1O9BHBJKVI5PS 	In this book he had insulted India and the Indian people.
10138_199 	A2S1NJ34KB1OYI 	Subhash babu expressed his displeasure over this to Hitler
10138_200 	A2S1NJ34KB1OYI 	Hitler apologized and promised to remove this remarks from the next edition of &quot;Mein Kampf&quot;
10138_201 	A1O9BHBJKVI5PS 	In the end&#44; Subhashbabu realized that he is not going to get anything else from Hitler and Germany.
10138_203 	A2S1NJ34KB1OYI 	This German submarine took them to the coast of Madagaskar in the Indian Ocean.
10138_204 	A1O9BHBJKVI5PS 	There they both swam in the ferocious seas and reached the Japanese submarine.
10138_205 	A1O9BHBJKVI5PS 	In the time of the Second World War&#44; this was the only transfer of civilians between submarines of the navies of any two nations.
10138_206 	A1O9BHBJKVI5PS 	This Japanese submarine brought them to the Padang port of Indonesia.
10138_210 	A3P2WQO8VESWF2 	Provisional government of free India
10138_211 	A3P2WQO8VESWF2 	On reaching east Asia Subhash babu first took the leadership of Indian independence league from old revolutionist Rash Behari Bose.
10138_212 	A3P2WQO8VESWF2 	At Farrer park in Singapore Rash Behari Bose gave the leadership of Indian Independence league to Subhashbabu.
10138_213 	A3P2WQO8VESWF2 	The prime minister of Japan General Hideki Tojo&#44; impressed by the personality of Netaji&#44; gave assurance to cooperate with him.
10138_215 	A3P2WQO8VESWF2 	On October 21 1943&#44; Netaji established Arzi Hukumat-e-Azad Hind(Provisional government of free India) in Singapore.
10138_216 	A3P2WQO8VESWF2 	He himself became the president&#44; prime minister and defence minister of this government.
10138_217 	A3P2WQO8VESWF2 	This government was recognized by a total of 9 nations.
10138_218 	A3P2WQO8VESWF2 	Netaji became the commander in chief of Azaad Hind Fauj( Indian National Army)
10138_220 	A3NOO9K3CY1YU5 	In The Indian National Army (Azad Hind Fauj)&#44; Jhansi Rani Regiment exclusively for women was formed.
10138_221 	A3NOO9K3CY1YU5 	Netaji gave several speeches in eastern Asia and called upon the Indians residing in those places to join Indian National Army and help it financially too.
10138_222 	A9YS2FWO4UV7G 	He called upon people by saying &quot; You give me Blood&#44; and i will give you freedom&quot;
10138_223 	A3NOO9K3CY1YU5 	During World War-II&#44; Indian National Army invaded India with the help of Japanese Army.
10138_225 	A3NOO9K3CY1YU5 	Both the armies captured Andaman and Nikobar islands from the British.
10138_226 	A3M58JENI5651B 	These Islands came under the administration of &#39;Arzi Hukumat-e-Azad Hind&#39; (The Provisional Government of Free India).
10138_227 	A3NOO9K3CY1YU5 	Netaji gave these islands new names of Martyr and Freedom
10138_228 	A3NOO9K3CY1YU5 	Both the armies jointly invaded Imphal and Kohima.
10138_230 	A1E27YTR0AV5GB 	when the Indian National Army was going back&#44;the Japanese army helped Nethaji to escape.
10138_231 	A3P2WQO8VESWF2 	But Netaji preferred to walk thousands of miles along with the girls of Jhansi Rani regiment.
10138_232 	A3P2WQO8VESWF2 	This way Netaji created a principle of true leadership.
10138_233 	A1JNPLDD2U8VUC 	6th July&#44; 1944 in a conversation between Gandhi on Aaza hind radio he narrated the reason for taking help from Japan&#44; and the reason for founding arzi-Hukumat-e-Azad-hind-fouz and Azad- hind-fouz.
10138_235 	A3KCINWW8X6DCQ 	Thus Netaji is the one who called Ghadiji Father of The Nation for the very first time
10138_236 	A1E27YTR0AV5GB 	his disappearance and the news of his death.
10138_237 	A1JNPLDD2U8VUC 	After Japan lost the second world war&#44; Netaji was in need of a new way.
10138_238 	A3P2WQO8VESWF2 	He decided to obtain help from Russia.
10138_240 	A1ZW3EUAHC0BSH 	During this trip he went missing
10138_241 	A115PREVPO3IK7 	He was never seen by anyone after this day.
10138_242 	A3J8LSU9GFVDMH 	On 23 August&#44; 1945&#44; Japan announced that Netaji&#39;s aircraft has crashed in the outskirts of Taiwan and due to this Netaji has been seriously injured and later declared dead in a hospital
10138_243 	A115PREVPO3IK7 	Netaji&#39;s assistant Colonal Habibur Raheman also was accompanying him in that aircraft
10138_245 	A3J8LSU9GFVDMH 	After the incident&#44; the Netajis Bones were kept in a Budha temple named Ranekozi in Tokyo
10138_246 	A3J8LSU9GFVDMH 	After the independence&#44; Indian goverment ordered enquiry on this incident twice on 1956 and 1977
10138_247 	A115PREVPO3IK7 	Both the times it was concluded that Netaji had died in that air crash.
10138_248 	A115PREVPO3IK7 	But these committee members did not have any talks with government of Taiwan where the accident had occured.
10138_250 	A3NMRXYNBNFNUT 	In 2005 the Government of Taiwan reported to the Mukherjee Commission that no aircrafts had crashed in 1945 on Taiwanese soil.
10138_251 	A1L60D3USUDQRB 	In the year 2005&#44; Mukherjee Commission presented its report to Government of India in which they told that there is no evidence to prove that Netaji died due to the plane crash.
10138_252 	A3NMRXYNBNFNUT 	But the Government of India rejected the Mukherjee Commissions report.
10138_253 	A3NMRXYNBNFNUT 	The whereabouts of Netaji after 18th August 1945 and what happened to him after that day are some of the biggest unsolved mysteries in Indian history.
10138_255 	A3NMRXYNBNFNUT 	No one can claim to be unsuccessful after hard work and sacrifices. If that person loses something in this world&#44; that person becomes a heir to immortality and achieves a lot of other things.
10138_257 	A13R3YPXVI2T7X 	In one matter the British were very much scared.
10138_258 	A13R3YPXVI2T7X 	Subhash Chandra Bose&#44; who was their enemy with firm determination and who was fully equipped&#44; was marching ahead.
10138_262 	AYDB3VGUW1ESM 	Documents related to Netaji must be made public by the goverment
10138_263 	AYDB3VGUW1ESM 	Netaji Subhash: The search for the truth
10138_265 	A3P2WQO8VESWF2 	Subhashchandra Bose: Short introduction (World web)
10138_266 	A3P2WQO8VESWF2 	Netaji Subhashchandra Bose- Great leader of Freedom
10880_100 	A9YS2FWO4UV7G 	Its main facade is made up of three arches leading to open floor.
10880_101 	A2C2XKYTRVJWOG 	Hayat Baksh Baag (Hayaat Baksh Garden)
10880_104 	A2C2XKYTRVJWOG 	It is divided into two halves by two canals.
10880_105 	A9YS2FWO4UV7G 	On both north and south ends of these chanals is a canopy and third one was built by last Mogul emperor Bahhadur Shah Jafar in 1843.
10880_106 	A2C2XKYTRVJWOG 	It has been constructed at a central point where both the canals meet each other.
10880_111 	A3TMBSI2HW9NF4 	The shining Red Fort in the night lights
10880_112 	A13R3YPXVI2T7X 	Red Fort is the most famous tourist spot of Delhi &#44; which attracts millions of tourists annually.
10880_113 	A3TMBSI2HW9NF4 	This fort is also the spot from where the Prime Minister of India addresses the nation every year on Independence day which falls on 15th of August.
10880_114 	A3TMBSI2HW9NF4 	This is also the largest monument in Delhi.
10880_116 	A3TMBSI2HW9NF4 	But after the freedom struggle of 1857&#44; the British army took control of the fort and destroyed many residential palaces.
10880_117 	A13R3YPXVI2T7X 	It was also converted into the headquarters of the British Army.
10880_118 	A3TMBSI2HW9NF4 	Immediately after this struggle&#44; Bahadur Shah Zafar was tried here.
10880_119 	A13R3YPXVI2T7X 	Three officials of Indian National Army were court martialed here in November 1945.
10880_121 	A3HL2A7LZ69235 	Then the Indian Army took control of the Fort
10880_122 	A2GGFBEGFXJFRS 	Later in December 2003&#44; Indian army handed it over to tourist department.
10880_123 	A3HL2A7LZ69235 	The fort also was attacked by the terrorists of Laskar E Toaiba in December 2000.
10880_124 	A2GGFBEGFXJFRS 	In this attack two soldiers and a civilian died.
10880_126 	A2GGFBEGFXJFRS 	Fort in the custody of Tourism department
10880_127 	A3HL2A7LZ69235 	After the independence in 1947 of India&#44; British Government handed this premises to the Indian Army&#44; since then the was Army office there.
10880_128 	A1E27YTR0AV5GB 	on 22 december 2003 after 56 years the Indian army handed over this Red Fort to the tourism depatment
10880_129 	A2GGFBEGFXJFRS 	In this ceremony defense minister George Fernandes said that the army has its history associated with the fort but it is time that world should know about the legacy and history of ours.
10880_131 	A38YZAJ29QTA5E 	Almost at this time he started building Taj Mahal in Agra in memory of his late wife.
10880_132 	A38YZAJ29QTA5E 	In 1739&#44; Persian king Nadir Shah attacked Red Fort and took the golden peacock chair along with him&#44; which later became the symbol of Iranian Emperor.
10880_133 	A9YS2FWO4UV7G 	After revolt of 1857&#44; British army controlled Red Fort.
10880_142 	A1ESKJFDQUMBL4 	Category : World heritage places of Delhi.
15433_107 	AILVD73METP52 	multiple font converter- There are more than twenty font converter are available on the bases of JavaScript in file section of Scientific and Technical Hindi Group.
15433_109 	A1D1QXJQBXLLO5 	Data converter of web World- Facilty to convert fonts to unicode is presnt here online
15433_114 	A1D1QXJQBXLLO5 	Translasion from Hindi to Punjabi- With help of this by using Krutidev KeyBoard Unicode Hindi can be written.
15433_120 	A1XFNYYDANY0VD 	Unicode - old legacy font: Unicode to converted into Kritidev and other legacy font so that it can be written well for printing
15433_131 	A2EQZRRITDQ59I 	Unidev:Tool to convert from Mangal to Krithidev font
15433_135 	A2JPXAF2MC24F7 	Girgit: a tool (online) to change the text written in any Indian language to another Indian language.
15433_136 	A3M23KS0CLAUNZ 	Another form of Girgit : This one changes a website that is written in an Indian language to any other Indian language and Publishes it on the web.
15433_139 	A3M23KS0CLAUNZ 	Aksharmugh : The instrument that is used online to interchange the text of The ancient Indian scripts like the Devanagari and all other learned scripts.
15433_143 	A2EQZRRITDQ59I 	Diacritic Conversion-diCrunch v2.00:b6:Best software to convert sanskrit&#44;hindi&#44;nepali coded in  balram&#44;harvard codes&#44;CSX to devanagiri&#44;iTrans&#44;bengali&#44;oria.
15433_144 	A2JPXAF2MC24F7 	An online tool to transform a website written in any Indian language to Latin.
15433_147 	A3GI3466NOP5HJ 	Hindi to Punjabi translation (Punjab University&#44; Patiala)
15433_150 	A3RITO7R5N0CKJ 	The device used to convert Urdu script to Sanskrit is a software.
15433_151 	A112IE8PQYXT3Q 	Hindi-Urdu machine assisted script conversion (Online)
15433_152 	A1CWCJ8MKSQHPI 	The tool to convert Devanagari to Urdu (online)
15433_163 	AGUEWXL636ANK 	Dictionary.com English&lt;--&gt;Hindi (online)
15433_164 	AGUEWXL636ANK 	Google dictionary English&lt;--&gt;Hindi (online)
15433_165 	A6VR1WVKIRSR3 	dictionaries of hindi and different languages
15433_166 	A9YS2FWO4UV7G 	Word knowledge&#44; Unicode based English&lt;--&gt;Hindi dictionary (Offline)
15433_173 	AGUEWXL636ANK 	E-great dictionary - C - deck&#44; presented by Indian government.
15433_175 	AGUEWXL636ANK 	Alphabets: Hindi --&gt; English dictionary Hindi to English dictionary
15433_185 	A9YS2FWO4UV7G 	English Hindi Dictionary in PDF form
15433_203 	A2GGFBEGFXJFRS 	Dictionary.com- For seeing the actual pronunciation of English words in IPA.
15433_211 	A13DMZG0WCV89U 	translation of english to hindi system (online)
15433_224 	A1DA91W9F7L8XT 	Devanagari Numerals - Program for arranging words-group written in Devanagari in Devanagari numerals; in this left-to-right or right-to-left has a function to do both the ways.
15433_225 	A2GGFBEGFXJFRS 	Right to left order is used to place words in sequence.
15433_228 	A3T5285F7WI9HT 	Number of lines of a poem are helpful in judging its purity.
15433_252 	A3T5285F7WI9HT 	General architecture for text analysis (GATE) is helpful in understanding a natural way of any language.
15433_257 	A112IE8PQYXT3Q 	Dhvani (text to speech)- Dhvani TTS
15433_258 	A3GI3466NOP5HJ 	vozME - vozME&#39;s online hindi text to speech.
15433_263 	A3T5285F7WI9HT 	Hindi OCR - Converts Hindi speech to text.
15433_270 	A112IE8PQYXT3Q 	Alternative site of Sanskrit OCR.
15433_272 	AGUEWXL636ANK 	2nd programme for converting Roman output gain from Sanskrit OCR to Hindi script
15433_282 	A2GGFBEGFXJFRS 	i-browser++(Hindi Explorer):: A software in which clicking on a word in English web page will translate it to Hindi i-browser++{\[Hindi Explorer by Limca Book of Records-2007]
15433_283 	A2GGFBEGFXJFRS 	Bharat Operating System Solution (BOSS)
15433_286 	AGUEWXL636ANK 	Hindi c-manki-Semantic Complete Web Application Suite is available in Hindi by Ashtank software.
15433_288 	A2GGFBEGFXJFRS 	C-Monkey(before Mozilla) is the basis of Mozilla firewalls web browser.
15433_299 	AGUEWXL636ANK 	Simple Machine Forum - Simple Machine Forum is PHP dependent&#44; which is available in Hindi by Ashtak software
15433_300 	A2GGFBEGFXJFRS 	Simple Machine Forum is a part of Ashtank software for its Hindi awareness campaign.
15433_301 	A2GGFBEGFXJFRS 	Hindi Fibbi(PHPBB) - Fibbi is PHPBB based world class operating system software which has been made available by Ashtank software.
15433_303 	A3M58JENI5651B 	Mozilla Firefox web-browser is based on SeaMonkey(formerly Mozilla).
15433_331 	AZX0WRH12YUBH 	Web search: Search option is available in many languages  including Hindi.
15433_338 	ADOXDQPX17PHN 	Pratahkal Hindi News Paper: Search for Hindi News in Pratahkal.
15433_347 	A3I17NEOCU7A28 	It&#39;s interface is available in Hindi also.
15433_350 	ADOXDQPX17PHN 	Mozilla Text Alignment Fix (by Shravanan) - In Firefox 2.0&#44; the Hindi font could be seen and to remove this problem&#44; The GreaseMonkey Script was introduced in the next version of Mozilla Firefox and this problem was solved.
15433_351 	AZX0WRH12YUBH 	There is an extension in Firefox for Hindi Language.
15433_352 	AZX0WRH12YUBH 	In this application Hindi Script is writable on web pages of Firefox.
15433_360 	A3M58JENI5651B 	Hindi spelling checker add-on for Firefox
15433_361 	AVWWDENWU115I 	Tool for Hindi typing in firefox
15433_383 	A1UG3GWFWR27M8 	Unicode collection of Hindi texts (corpus)
180117_10 	A1ESKJFDQUMBL4 	This technology is called bridge technology.
180117_11 	A2OCN0KL27QMTP 	This is different from the email or instant messaging push technology.
180117_13 	A2OCN0KL27QMTP 	The user is given a facility to export or import the feed.
180117_14 	A2OCN0KL27QMTP 	On many portals the facility is present on the site itself&#44; for example yahoo or iGoogle.
180117_15 	A3IHCT015XNNJK 	This facility is available on latest web browsers too.
180117_16 	A2OCN0KL27QMTP 	The particular topic is included on a particular browser or desktop.
180117_18 	A1L60D3USUDQRB 	The selection which is capable of podcasting can automatically download media files like MP3 recording .
180117_19 	A1L60D3USUDQRB 	In some cases these files can directly be loaded to portable media player like Ipod attached to computer.
180117_20 	A2GGFBEGFXJFRS 	Recently new compilers like RSS feed can not only collect the feeds but can also give  the ability to listen to the recordings while being offline that is when internet is not connected.
180117_23 	A2GGFBEGFXJFRS 	Because these tools are connected with internet&#44; subscribed feeds can be read by a user where internet connection is available.
180117_24 	A2GGFBEGFXJFRS 	Modern compilers use Ajax kind of technologies and are available in the form of widgets as well.
180117_25 	A2GGFBEGFXJFRS 	along with personal compilers group compilers are also there which generally compile feeds for a group of people.
180117_26 	A1L60D3USUDQRB 	For eaxmple see the page of list of compiler in the end of article.
180117_28 	A17C2H9W3EL9YD 	Most of the client or desktop applications are legaly installed on computer.
180117_29 	A17C2H9W3EL9YD 	Its graphical user interface is similar to popular email clients like outlook where most of the drafts are displayed in three panels&#44;list of subscribed feeds on left side which can be devided in groups&#44;folders or categories and draft entry on the right side panel.
180117_30 	A1ESKJFDQUMBL4 	In various applications information about new entries can be obtained in the form of ticker tape or news ticker or alert.
180117_33 	A1ESKJFDQUMBL4 	Example : in C-panel [XML::RSS](Pearl)&#44; [Maiga-pi](PHP)&#44; [rome](Java) etc.
180117_35 	A1IBD16JNAIVDB 	Media collection&#44; which is called pod catcher due to popularity of pod cast are those feed collections in which the topic is mainly audio or video.
180117_36 	A17C2H9W3EL9YD 	This is used as [Media Enclosure] in feeds
180117_38 	AFD2H8FZGWTBE 	These can be played by downloading Media or by synchronizing with any external Media Player like iPOD.
180117_40 	A2C2XKYTRVJWOG 	The basic problem with compilers is the abundance of items especially when the user is a reader of many feeds.
180117_41 	A2C2XKYTRVJWOG 	The compiler handles the problem in various ways.
180117_43 	A2C2XKYTRVJWOG 	Apart from this&#44; another method is to use the attention profile of the user and present to him&#44; a list of items depending on his interests.
180934_10 	AGUEWXL636ANK 	Most of the blogs are issue based and some of them may be in form of art blogs &#44; photography blogs &#44; video&#44; songs&#44; mp3 and audio related .
180934_11 	AHSM0NCHR7DMZ 	English word blog&#44; is the short form of Web log. An initial blogger used it as We blog for fun&#44; after that only &#39;blog&#39; word is used on internet.
180934_12 	AHSM0NCHR7DMZ 	Hindi word &#39;Chittha&#39; is first used by Alok Kumar&#44; which is popular in hindi world of internet.
180934_13 	AGUEWXL636ANK 	Google has added this word in their dictornary.
180934_15 	AVWWDENWU115I 	The word Chitta was formulated by them for the word blog which is now prevalent and used on the internet|
180934_16 	A9YS2FWO4UV7G 	There are many ways of creating a blog&#44; the easiest of which is to open an account on some website on internet for blogs&#44; such as Blog Spot&#44; or Live Journal or World Press etc. and start writing a blog.
180934_17 	AVWWDENWU115I 	Another type of blogging which is known as microblogging|
180934_18 	ADC8VBKOVOCRR 	Micro blogging is for short posts.
180934_20 	A9YS2FWO4UV7G 	In today&#39;s computer world&#44; the use of Blogs is very heavy.
180934_21 	A9YS2FWO4UV7G 	People read the blogs of many celebrities with great interest and send their own opinions also regarding them.
180934_22 	A9YS2FWO4UV7G 	People write blogs on subjects of their interests and some of them become famous all over the world&#44; and are quoted in many policy making issues.
180934_23 	A9YS2FWO4UV7G 	The onset of blogs was in 1992 when the first blogging website was launched.
180934_25 	ATA8X60VC3SSB 	Initial blog was information about computer related world.
180934_26 	ATZAOYNNIBMSZ 	But after some time blogs started coming in several topics.
180934_27 	A1ESKJFDQUMBL4 	In the present time the person have little be interest of writing have created a Blog because it is free of cost&#44;and he show his blog to all over the world.
180934_28 	ATZAOYNNIBMSZ 	In the blog political view&#44;advertisement of products&#44; research work and educational discussion goes on.
180934_30 	ATA8X60VC3SSB 	These complaints are written from sad and discrete languages to languages containing harsh words.
180934_31 	AGUEWXL636ANK 	In year 2004 this blog word was officially included in merrium-webstar.
180934_32 	AGUEWXL636ANK 	Many of people remain in touch with each other by the way of email.
180934_33 	ATZAOYNNIBMSZ 	Thus Blogging has become a medium to keep connected with the world as well as  personally.
180934_45 	A2SV5WZJJJTTEU 	Subject-wise list of top ten blog sites
